Cluster,Peak,Valley,Peak_Valley_Difference,Average,Load_Factor
0,8896.8,0.0,8896.8,1239.0175579019074,0.1392655289432051
1,570.6666666666666,0.0,570.6666666666666,78.80890923191902,0.12579058065437823
2,3219.55,0.0,3219.55,625.5225888396913,0.19597933252300165
3,1099.2,0.0,1099.2,557.6491740463215,0.5073227565923594
